,municipio,escrutinio,input_text,target_text
5172,Palafolls,70.25,ERC-AM | 41.42 | 7 | 3 más && PSOE | 33.65 | 5 | 1 menos && BARCELONA EN COMÚ-ECG | 8.15 | 1 | <null> && Cs | 5.31 | 0 | <null> && NPRS | 4.9 | 0 | <null> && JUNTS | 4.43 | 0 | <null> && PP | 1.37 | 0 | 1 menos,"Con un 70.25% de los votos escrutados, ERC-AM ganaría las elecciones municipales de Palafolls con siete concejales, lo cual supondría un mejor resultado en la región que en los comicios anteriores, pues se traduce en tres representantes más. De acuerdo a los datos que se manejan hasta el momento, Esquerra Republicana se haría con un 41,42% de los votos en juego, seguido del PSC-CP, con cinco ediles (33,65% de los votos); y de Palafolls En Comú - En Comú Guanyem, con un asiento (8,15%). "
95,Vera,39.46,PP | 58.38 | 12 | 4 más && PSOE | 28.77 | 5 | 3 más && ADELANTE | 4.66 | 0 | <null> && Cs | 3.95 | 0 | <null> && VOX | 3.41 | 0 | 0,"El PP sería la fuerza política más votada en Vera, al hacerse con 12 concejales cuando el recuento de las elecciones municipales supera el 39.46% de escrutinio, lo cual significaría cuatro representantes más que en los comicios anteriores. La formación popular se habría hecho con el 58,38% de las papeletas, porcentaje que le valdría para estar por delante del PSOE-A, que con cinco ediles lograría tres más que en las pasadas votaciones en esta localidad, según los datos ofrecidos hasta el momento por el Ministerio del Interior. "
8025,Montaverner,52.45,PP | 46.98 | 5 | 2 más && PSOE | 27.78 | 2 | 1 menos && COMPROMÍS MUNICIPAL | 24.36 | 2 | <null>,"Cuando el recuento de votos correspondiente a las elecciones municipales alcanza el 52.45%, el PP ganaría en Montaverner con cinco concejales, lo que significaría dos representantes más que en los comicios anteriores. El 46,88% de los votos le habría servido al partido de Génova para superar al PSOE y a Compromís Municipal, que obtendrían dos (27,83%) y dos ediles (24,41%), respectivamente. "
5934,Tortosa,65.81,JUNTS | 29.03 | 7 | <null> && BARCELONA EN COMÚ-ECG | 21.17 | 5 | <null> && ERC-AM | 19.67 | 4 | 0 && PSOE | 13.61 | 3 | 0 && Cs | 6.2 | 1 | <null> && Capgirem BCN - AMUNT | 5.48 | 1 | <null> && PP | 2.39 | 0 | 1 menos && PRIMÀRIES | 1.49 | 0 | <null>,"Junts per Tortosa sería la fuerza política preferida en Tortosa, al hacerse con siete concejales cuando el recuento de las elecciones municipales supera el 65.81% de escrutinio. La formación nacionalista se habría hecho con el 29,03% de los votos, porcentaje que le serviría para estar por delante de Movem Tortosa - Movem Terres de l'Ebre - En Comú Guanyem, que se quedaría con la segunda plaza al obtener cinco ediles; mientras que el tercer lugar correspondería a ERC-TS-AM, con cuatro; y le seguirían el PSC-CP, con tres; Cs con uno; y CUP-Amunt, que igualaría sus últimos datos con un concejal. Tal resultado dejaría sin representación al PP, opción elegida por el 2,39%; y a Tortosa per la República. Primàries Catalunya, con un 1,49%."
6379,Corcubión,39.56,PSOE | 33.82 | 3 | 0 && BNG | 19.36 | 2 | 1 menos && MAREAS  LOCAIS | 18.64 | 2 | <null> && PP | 17.45 | 1 | 1 menos && PACor | 9.36 | 1 | 0,"El PsdeG-PSOE sería la fuerza política preferida en Corcubión, al hacerse con tres concejales cuando el recuento de las elecciones municipales alcanza el 39.56% de escrutinio, lo que supondría una cantidad similar que en los anteriores comicios. La formación socialista habría obtenido un 33,82% de los votos, mientras que en segundo lugar aparecería BNG, que obtendría dos concejales, uno menos que en la pasada ocasión en este municipio; seguido de Sempre Corcubion - Mareas Locais, con dos. Por detrás estarían el PP, con un miembro del Ayuntamiento y un 17,45% de los votos; y el Partido Autónomo de Corcubion, con uno y un 9,36%. "
4271,Nava de la Asunción,99.76,PSOE | 58.16 | 7 | 1 más && PP | 39.39 | 4 | 1 menos,"Cuando el recuento de votos correspondiente a las elecciones municipales alcanza el 99.76%, el PSOE ganaría en Nava de la Asunción con siete concejales, lo que significaría uno más que los registrados en la región durante los pasados comicios. Atendiendo a los datos que se conocen en este momento, la primera posición ocupada por la organización de Ferraz respondería al 58,16% de los votos. El segundo puesto iría a parar al PP, que lograría cuatro representantes, uno menos que en la pasada ocasión en este municipio. "
6875,Arguedas,90.31,PSOE | 60.93 | 7 | 0 && NA+ | 37.61 | 4 | <null>,"El PSOE sería la fuerza política preferida en Arguedas, al hacerse con siete concejales cuando el recuento de las elecciones municipales alcanza el 90.31% de escrutinio, lo que significaría el mismo número de asientos que durante la pasada edición de los comicios en esta localidad. La formación socialista se habría hecho con el 60,93% de las papeletas, porcentaje que le valdría para estar por delante de Navarra Suma, que con cuatro concejales, obtendría el mismo número que en las anteriores votaciones en esta localidad, según los datos ofrecidos hasta el momento por el Ministerio del Interior. "
5919,Santa Oliva,66.87,PSOE | 34.4 | 4 | 1 más && ERC-AM | 29.63 | 4 | 1 más && BARCELONA EN COMÚ-ECG | 16.9 | 2 | <null> && Cs | 10.14 | 1 | <null> && PP | 4.35 | 0 | 1 menos && JUNTS | 3.86 | 0 | <null>,"Cuando el escrutinio de las elecciones municipales registra un 66.87%, El PSC-CP sería la fuerza política más votada en Santa Oliva a nivel porcentual, al hacerse con el 34,4% de los votos que, sin embargo, le procuraría cuatro concejales, los mismos que ERC-AM pese a hacerse con un 29,63%. Por detrás de ellos aparecerían Compromís-ECP-ECG, con dos al hacerse con el 16,9%, y Cs, con uno y un 10,14%. "
2724,Segurilla,70.92,PP | 54.32 | 6 | 0 && PSOE | 26.46 | 2 | 0 && PODEMOS.IU | 9.83 | 1 | <null> && Cs | 8.32 | 0 | <null>,"Cuando el recuento de votos correspondiente a las elecciones municipales alcanza el 70.92%, el PP vencería en Segurilla con seis concejales, lo que significaría una cantidad similar que en los pasados comicios. El partido de Génova acapararía un 54,32% de los votos, mientras que en segundo lugar aparecería el PSOE, que habría conseguido dos ediles (26,46%); seguido de Podemos-IU, con un 9,83% de los votos y un asiento. Fuera estaría Cs, como ya ocurrió en los comicios anteriores, al recabar un 8,32% de apoyos."
1868,Bonete,32.36,PP | 52.85 | 5 | 0 && PSOE | 46.1 | 4 | 0,"El PP sería la fuerza política más votada en Bonete, al hacerse con cinco concejales cuando el recuento de las elecciones municipales alcanza el 32.36% de escrutinio, lo que supondría el mismo número de representantes que durante los pasados comicios en esta localidad. Atendiendo a los datos que se conocen en este momento, la primera plaza ocupada por la formación popular respondería al 52,85% de los votos. El segundo puesto quedaría en manos del PSOE, que con cuatro concejales, lograría el mismo número que en las pasadas votaciones en esta localidad. "
